campaign_day,date,label,sense,entry,caption,post_file,story_file
1,--06-10,June 10,sight,The little oval of sunlight on the kitchen floor was exactly the size of my hand. I put my palm inside it before making coffee.,"A small thing I almost missed: a hand-sized patch of kitchen sunlight before coffee.

Nazar is a daily ritual for saving the ordinary things that make a day feel lived.

What small thing did you notice today?

#nazar #ordinarybeauty #noticingpractice",posts/nazar-entry-001-post.png,stories/nazar-entry-001-story.png
2,--06-11,June 11,sound,My mother left a voice note and laughed at the end because she forgot what she was saying. I played just that laugh twice.,"Today I kept the end of a voice note: my mother laughing because she forgot her own sentence.

The smallest sounds can hold the most life.

Save this as a reminder to notice someone you love.

#nazar #softliving #dailyjournal",posts/nazar-entry-002-post.png,stories/nazar-entry-002-story.png
3,--06-12,June 12,touch,The laundry was still warm when I folded it. For a second the whole room felt like someone had been kind to me.,"A real observation from an ordinary day: warm laundry, folded slowly, feeling almost like care.

This is the kind of thing Nazar is for.

Send this to someone who notices softly.

#nazar #quietlife #smallbeautifulthings",posts/nazar-entry-003-post.png,stories/nazar-entry-003-story.png
4,--06-13,June 13,smell,Someone downstairs was frying onions at 8:40pm. The hallway smelled like a family I do not know having dinner together.,"The hallway smelled like onions and someone else's dinner.

Not every beautiful thing belongs to us. Some things just pass through and make the evening warmer.

What did your day smell like?

#nazar #mindfulmoments #ordinarybeauty",posts/nazar-entry-004-post.png,stories/nazar-entry-004-story.png
5,--06-14,June 14,feeling,I saw an older man pause before crossing the street to fix the collar of the woman beside him. She did not look surprised.,"A two-second love story at the crosswalk: he fixed her collar, and she did not look surprised.

Some observations feel worth keeping because they prove tenderness still happens in public.

Save one small proof today.

#nazar #romanticizeyourlife #presencepractice",posts/nazar-entry-005-post.png,stories/nazar-entry-005-story.png
6,--06-15,June 15,taste,"The peach was not quite ripe, but the first bite tasted like standing barefoot near a sink in summer.","The peach was too firm, but it still tasted like summer near a kitchen sink.

Nazar is for the details that would sound too small anywhere else.

Save this if you know what I mean.

#nazar #slowdaily #mindfuljournal",posts/nazar-entry-006-post.png,stories/nazar-entry-006-story.png
7,--06-16,June 16,sight,A child on the bus pressed one finger to the window and traced the raindrops down like they were choosing a path.,"On the bus, a child traced raindrops down the window like each one had somewhere important to go.

A tiny scene. A whole mood.

Share this with someone who would have noticed it too.

#nazar #noticing #softlife",posts/nazar-entry-007-post.png,stories/nazar-entry-007-story.png
8,--06-17,June 17,sound,The elevator made its tired little sigh before the doors opened. Everyone inside looked up at the same time.,"The elevator sighed and four strangers looked up together.

The city is full of tiny synchronized moments no one names.

That is what Nazar helps you keep.

#nazar #citynoticing #ordinarybeauty",posts/nazar-entry-008-post.png,stories/nazar-entry-008-story.png
9,--06-18,June 18,touch,I found a movie ticket in my jacket pocket from a night I thought I had forgotten. The paper had gone soft at the fold.,"A movie ticket in an old jacket pocket. Soft at the fold. Still carrying a night I thought I had forgotten.

Some memories come back as texture first.

Save this for later.

#nazar #memorykeeping #dailyritual",posts/nazar-entry-009-post.png,stories/nazar-entry-009-story.png
10,--06-19,June 19,feeling,"At 6:12 the whole apartment turned gold, including the pile of dishes. For once, even the undone things looked forgiven.","Golden hour touched the dishes and made even the undone things look forgiven.

A small mercy from the light.

What did the light forgive in your room today?

#nazar #goldenhour #noticingpractice",posts/nazar-entry-010-post.png,stories/nazar-entry-010-story.png
