reel,filename,category,duration,hook,observation,caption,question,hashtags,cta,formatted_caption,viral_caption,viral_question,viral_hashtags,viral_cta,viral_formatted_caption,reflective_caption,reflective_question,reflective_hashtags,reflective_cta,reflective_formatted_caption,product_caption,product_question,product_hashtags,product_cta,product_formatted_caption
1,reels/nazar-reel-001.mp4,coffee shops,7,before the first sip,The barista wiped the same clean spot three times while waiting for the milk to steam.,The barista wiped the same clean spot three times while waiting for the milk to steam.,What did you notice before your first sip today?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty,Try Nazar.,"The barista wiped the same clean spot three times while waiting for the milk to steam.

What did you notice before your first sip today?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty

Try Nazar.",The barista wiped the same clean spot three times while waiting for the milk to steam.,Would you have noticed this?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty #sharethis,Send this to someone who notices small things.,"The barista wiped the same clean spot three times while waiting for the milk to steam.

Would you have noticed this?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty #sharethis

Send this to someone who notices small things.","The barista wiped the same clean spot three times while waiting for the milk to steam. A small moment, but not an empty one.",What did the day quietly give you?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty #quietbeauty,Return to the smallest true thing.,"The barista wiped the same clean spot three times while waiting for the milk to steam. A small moment, but not an empty one.

What did the day quietly give you?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty #quietbeauty

Return to the smallest true thing.",The barista wiped the same clean spot three times while waiting for the milk to steam. Nazar gives these small observations a quiet place to live.,What small observation belongs in your Nazar journal?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty,Try Nazar.,"The barista wiped the same clean spot three times while waiting for the milk to steam. Nazar gives these small observations a quiet place to live.

What small observation belongs in your Nazar journal?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty

Try Nazar."
2,reels/nazar-reel-002.mp4,coffee shops,8,someone left in a hurry,A half moon of lipstick stayed on the rim of the paper cup after she ran for the bus.,A half moon of lipstick stayed on the rim of the paper cup after she ran for the bus.,What tiny cafe detail stayed with you longer than expected?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty,Keep one small thing in Nazar.,"A half moon of lipstick stayed on the rim of the paper cup after she ran for the bus.

What tiny cafe detail stayed with you longer than expected?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty

Keep one small thing in Nazar.",A half moon of lipstick stayed on the rim of the paper cup after she ran for the bus.,What tiny detail did you almost miss today?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty #sharethis,Save this before the day gets loud.,"A half moon of lipstick stayed on the rim of the paper cup after she ran for the bus.

What tiny detail did you almost miss today?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty #sharethis

Save this before the day gets loud.","A half moon of lipstick stayed on the rim of the paper cup after she ran for the bus. A small moment, but not an empty one.",What ordinary thing felt tender for a second?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty #quietbeauty,Carry the detail with you.,"A half moon of lipstick stayed on the rim of the paper cup after she ran for the bus. A small moment, but not an empty one.

What ordinary thing felt tender for a second?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty #quietbeauty

Carry the detail with you.",A half moon of lipstick stayed on the rim of the paper cup after she ran for the bus. Nazar gives these small observations a quiet place to live.,What tiny moment would you keep if there were a quiet place for it?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty,Download Nazar.,"A half moon of lipstick stayed on the rim of the paper cup after she ran for the bus. Nazar gives these small observations a quiet place to live.

What tiny moment would you keep if there were a quiet place for it?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty

Download Nazar."
3,reels/nazar-reel-003.mp4,coffee shops,9,table by the window,The little sugar packets had been arranged into a wall by someone trying not to check their phone.,The little sugar packets had been arranged into a wall by someone trying not to check their phone.,What did someone leave behind that told a quiet story?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty,Notice with Nazar.,"The little sugar packets had been arranged into a wall by someone trying not to check their phone.

What did someone leave behind that told a quiet story?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty

Notice with Nazar.",The little sugar packets had been arranged into a wall by someone trying not to check their phone.,Why do moments like this stay with us?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty #sharethis,Share this with someone who would understand.,"The little sugar packets had been arranged into a wall by someone trying not to check their phone.

Why do moments like this stay with us?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty #sharethis

Share this with someone who would understand.","The little sugar packets had been arranged into a wall by someone trying not to check their phone. A small moment, but not an empty one.",Where did beauty appear without announcing itself?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty #quietbeauty,Let the ordinary be enough.,"The little sugar packets had been arranged into a wall by someone trying not to check their phone. A small moment, but not an empty one.

Where did beauty appear without announcing itself?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty #quietbeauty

Let the ordinary be enough.",The little sugar packets had been arranged into a wall by someone trying not to check their phone. Nazar gives these small observations a quiet place to live.,What would you save in Nazar today?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty,Start noticing with Nazar.,"The little sugar packets had been arranged into a wall by someone trying not to check their phone. Nazar gives these small observations a quiet place to live.

What would you save in Nazar today?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty

Start noticing with Nazar."
4,reels/nazar-reel-004.mp4,coffee shops,10,coffee cooling,"The espresso crema broke slowly, like a small brown cloud deciding to disappear.","The espresso crema broke slowly, like a small brown cloud deciding to disappear.",What did you notice before your first sip today?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty,Save it in Nazar.,"The espresso crema broke slowly, like a small brown cloud deciding to disappear.

What did you notice before your first sip today?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty

Save it in Nazar.","The espresso crema broke slowly, like a small brown cloud deciding to disappear.",Who would understand this kind of noticing?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty #sharethis,Keep this for your next quiet moment.,"The espresso crema broke slowly, like a small brown cloud deciding to disappear.

Who would understand this kind of noticing?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty #sharethis

Keep this for your next quiet moment.","The espresso crema broke slowly, like a small brown cloud deciding to disappear. A small moment, but not an empty one.",What detail asked nothing from you except attention?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty #quietbeauty,Let one small thing stay with you.,"The espresso crema broke slowly, like a small brown cloud deciding to disappear. A small moment, but not an empty one.

What detail asked nothing from you except attention?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty #quietbeauty

Let one small thing stay with you.","The espresso crema broke slowly, like a small brown cloud deciding to disappear. Nazar gives these small observations a quiet place to live.",What did you notice that you would want to remember later?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty,Keep it in Nazar.,"The espresso crema broke slowly, like a small brown cloud deciding to disappear. Nazar gives these small observations a quiet place to live.

What did you notice that you would want to remember later?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty

Keep it in Nazar."
5,reels/nazar-reel-005.mp4,coffee shops,11,"two strangers, one outlet","Two laptops shared one outlet under the table, their cords touching like quiet acquaintances.","Two laptops shared one outlet under the table, their cords touching like quiet acquaintances.",What tiny cafe detail stayed with you longer than expected?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty,Open Nazar when something small stays with you.,"Two laptops shared one outlet under the table, their cords touching like quiet acquaintances.

What tiny cafe detail stayed with you longer than expected?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty

Open Nazar when something small stays with you.","Two laptops shared one outlet under the table, their cords touching like quiet acquaintances.",What is the smallest thing you saved today?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty #sharethis,Send it to the friend who notices everything.,"Two laptops shared one outlet under the table, their cords touching like quiet acquaintances.

What is the smallest thing you saved today?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty #sharethis

Send it to the friend who notices everything.","Two laptops shared one outlet under the table, their cords touching like quiet acquaintances. A small moment, but not an empty one.",What did you want to keep before it passed?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty #quietbeauty,Keep looking softly.,"Two laptops shared one outlet under the table, their cords touching like quiet acquaintances. A small moment, but not an empty one.

What did you want to keep before it passed?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty #quietbeauty

Keep looking softly.","Two laptops shared one outlet under the table, their cords touching like quiet acquaintances. Nazar gives these small observations a quiet place to live.",What did today give you that is worth writing down?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty,Open Nazar and save one thing.,"Two laptops shared one outlet under the table, their cords touching like quiet acquaintances. Nazar gives these small observations a quiet place to live.

What did today give you that is worth writing down?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty

Open Nazar and save one thing."
6,reels/nazar-reel-006.mp4,coffee shops,12,receipt folded twice,A receipt was folded into a tiny square and left under the saucer like a secret.,A receipt was folded into a tiny square and left under the saucer like a secret.,What did someone leave behind that told a quiet story?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty,Try Nazar.,"A receipt was folded into a tiny square and left under the saucer like a secret.

What did someone leave behind that told a quiet story?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty

Try Nazar.",A receipt was folded into a tiny square and left under the saucer like a secret.,Would you have noticed this?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty #sharethis,Send this to someone who notices small things.,"A receipt was folded into a tiny square and left under the saucer like a secret.

Would you have noticed this?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty #sharethis

Send this to someone who notices small things.","A receipt was folded into a tiny square and left under the saucer like a secret. A small moment, but not an empty one.",What did the day quietly give you?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty #quietbeauty,Return to the smallest true thing.,"A receipt was folded into a tiny square and left under the saucer like a secret. A small moment, but not an empty one.

What did the day quietly give you?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty #quietbeauty

Return to the smallest true thing.",A receipt was folded into a tiny square and left under the saucer like a secret. Nazar gives these small observations a quiet place to live.,What small observation belongs in your Nazar journal?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty,Try Nazar.,"A receipt was folded into a tiny square and left under the saucer like a secret. Nazar gives these small observations a quiet place to live.

What small observation belongs in your Nazar journal?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty

Try Nazar."
7,reels/nazar-reel-007.mp4,coffee shops,8,rain at the glass,Everyone looked up at the same time when rain began ticking against the front window.,Everyone looked up at the same time when rain began ticking against the front window.,What did you notice before your first sip today?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty,Keep one small thing in Nazar.,"Everyone looked up at the same time when rain began ticking against the front window.

What did you notice before your first sip today?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty

Keep one small thing in Nazar.",Everyone looked up at the same time when rain began ticking against the front window.,What tiny detail did you almost miss today?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty #sharethis,Save this before the day gets loud.,"Everyone looked up at the same time when rain began ticking against the front window.

What tiny detail did you almost miss today?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty #sharethis

Save this before the day gets loud.","Everyone looked up at the same time when rain began ticking against the front window. A small moment, but not an empty one.",What ordinary thing felt tender for a second?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty #quietbeauty,Carry the detail with you.,"Everyone looked up at the same time when rain began ticking against the front window. A small moment, but not an empty one.

What ordinary thing felt tender for a second?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty #quietbeauty

Carry the detail with you.",Everyone looked up at the same time when rain began ticking against the front window. Nazar gives these small observations a quiet place to live.,What tiny moment would you keep if there were a quiet place for it?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty,Download Nazar.,"Everyone looked up at the same time when rain began ticking against the front window. Nazar gives these small observations a quiet place to live.

What tiny moment would you keep if there were a quiet place for it?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty

Download Nazar."
8,reels/nazar-reel-008.mp4,coffee shops,9,the regular's chair,"The man in the green coat sat down before ordering, and the barista had already started his drink.","The man in the green coat sat down before ordering, and the barista had already started his drink.",What tiny cafe detail stayed with you longer than expected?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty,Notice with Nazar.,"The man in the green coat sat down before ordering, and the barista had already started his drink.

What tiny cafe detail stayed with you longer than expected?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty

Notice with Nazar.","The man in the green coat sat down before ordering, and the barista had already started his drink.",Why do moments like this stay with us?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty #sharethis,Share this with someone who would understand.,"The man in the green coat sat down before ordering, and the barista had already started his drink.

Why do moments like this stay with us?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty #sharethis

Share this with someone who would understand.","The man in the green coat sat down before ordering, and the barista had already started his drink. A small moment, but not an empty one.",Where did beauty appear without announcing itself?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty #quietbeauty,Let the ordinary be enough.,"The man in the green coat sat down before ordering, and the barista had already started his drink. A small moment, but not an empty one.

Where did beauty appear without announcing itself?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty #quietbeauty

Let the ordinary be enough.","The man in the green coat sat down before ordering, and the barista had already started his drink. Nazar gives these small observations a quiet place to live.",What would you save in Nazar today?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty,Start noticing with Nazar.,"The man in the green coat sat down before ordering, and the barista had already started his drink. Nazar gives these small observations a quiet place to live.

What would you save in Nazar today?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty

Start noticing with Nazar."
9,reels/nazar-reel-009.mp4,coffee shops,10,near closing,The chairs on the tables made the whole cafe look like it was holding its breath.,The chairs on the tables made the whole cafe look like it was holding its breath.,What did someone leave behind that told a quiet story?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty,Save it in Nazar.,"The chairs on the tables made the whole cafe look like it was holding its breath.

What did someone leave behind that told a quiet story?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty

Save it in Nazar.",The chairs on the tables made the whole cafe look like it was holding its breath.,Who would understand this kind of noticing?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty #sharethis,Keep this for your next quiet moment.,"The chairs on the tables made the whole cafe look like it was holding its breath.

Who would understand this kind of noticing?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty #sharethis

Keep this for your next quiet moment.","The chairs on the tables made the whole cafe look like it was holding its breath. A small moment, but not an empty one.",What detail asked nothing from you except attention?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty #quietbeauty,Let one small thing stay with you.,"The chairs on the tables made the whole cafe look like it was holding its breath. A small moment, but not an empty one.

What detail asked nothing from you except attention?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty #quietbeauty

Let one small thing stay with you.",The chairs on the tables made the whole cafe look like it was holding its breath. Nazar gives these small observations a quiet place to live.,What did you notice that you would want to remember later?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty,Keep it in Nazar.,"The chairs on the tables made the whole cafe look like it was holding its breath. Nazar gives these small observations a quiet place to live.

What did you notice that you would want to remember later?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty

Keep it in Nazar."
10,reels/nazar-reel-010.mp4,coffee shops,11,foam heart,"The heart in my coffee lasted only until the second sip, which made it feel more generous.","The heart in my coffee lasted only until the second sip, which made it feel more generous.",What did you notice before your first sip today?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty,Open Nazar when something small stays with you.,"The heart in my coffee lasted only until the second sip, which made it feel more generous.

What did you notice before your first sip today?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty

Open Nazar when something small stays with you.","The heart in my coffee lasted only until the second sip, which made it feel more generous.",What is the smallest thing you saved today?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty #sharethis,Send it to the friend who notices everything.,"The heart in my coffee lasted only until the second sip, which made it feel more generous.

What is the smallest thing you saved today?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty #sharethis

Send it to the friend who notices everything.","The heart in my coffee lasted only until the second sip, which made it feel more generous. A small moment, but not an empty one.",What did you want to keep before it passed?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty #quietbeauty,Keep looking softly.,"The heart in my coffee lasted only until the second sip, which made it feel more generous. A small moment, but not an empty one.

What did you want to keep before it passed?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty #quietbeauty

Keep looking softly.","The heart in my coffee lasted only until the second sip, which made it feel more generous. Nazar gives these small observations a quiet place to live.",What did today give you that is worth writing down?,#nazarapp #coffeeshop #quietmoments #ordinarybeauty,Open Nazar and save one thing.,"The heart in my coffee lasted only until the second sip, which made it feel more generous. Nazar gives these small observations a quiet place to live.

What did today give you that is worth writing down?

#nazarapp #coffeeshop #quietmoments #ordinarybeauty

Open Nazar and save one thing."
